Dia;S;I;R;N
0;995,5195;3,0708039;1,4096136;999,9999
1;984,9337;9,368852;5,6973457;999,9999
2;953,56104;28,030888;18,407982;999,9999
3;867,35565;79,28278;53,361473;999,9999
4;673,3692;194,42584;132,2049;999,99994
5;386,9756;363,57022;249,45413;999,9999
6;157,39932;497,0162;345,58444;1000,0
7;51,513863;555,26385;393,22235;1000,00006
8;15,547909;571,19867;413,25348;1000,00006
9;4,611411;572,03845;423,35022;1000,00006
10;1,3729297;568,27625;430,35092;1000,0001
11;0,4129196;563,1918;436,39536;1000,0
12;0,12567626;557,75665;442,11786;1000,0002
13;0,038725335;552,256;447,7054;1000,0001
14;0,012081023;546,77405;453,2139;1000,0
15;0,0038154041;541,3359;458,6604;1000,0001
16;0,0012196994;535,94836;464,05048;1000,00006
17;3,946243E-4;530,61346;469,38626;1000,0001
18;1,29204E-4;525,3313;474,66867;1000,0001
19;4,28028E-5;520,1016;479,89844;1000,0001
20;1,4345504E-5;514,924;485,0762;1000,00024
21;4,863521E-6;509,79782;490,20233;1000,0001
22;1,6677152E-6;504,72275;495,2774;1000,0001
23;5,783282E-7;499,69818;500,302;1000,0002
24;2,0279359E-7;494,72363;505,27655;1000,0002
25;7,1896565E-8;489,79858;510,2016;1000,0002
26;2,576816E-8;484,9225;515,0777;1000,0002
27;9,335294E-9;480,09503;519,90515;1000,0002
28;3,4181462E-9;475,3156;524,6845;1000,0001
29;1,2647954E-9;470,5838;529,4163;1000,0001
